repository, subfield, field,openrank_2022,openrank_2023,openrank_2024
apache/kyuubi,,,591.25,610.99,334.11
apache/kvrocks,,,242.22,299.14,289.47
hazelcast/hazelcast,,,748.21,857.85,279.11
apache/calcite,,,255.91,421.19,274.49
plotly/plotly.js,,,227.86,285.27,247.66
apache/incubator-streampark,,,348.16,401.19,235.98
apache/phoenix,,,158.72,212.61,203.55
antvis/G2,,,203.53,313.63,171.17
biolab/orange3,,,177.26,173.23,108.98
apache/incubator-pegasus,,,105.9,111.59,93.6
apache/bigtop,,,120.85,110.82,80.6
alibaba/DataX,,,125.24,129.82,64.1
keplergl/kepler.gl,,,151.27,83.87,62.86
airbnb/visx,,,77.33,74.34,60.46
nhn/tui.chart,,,12.64,3.48,2.25
logging-flume,,,,,
edp963/davinci,,,12.58,4.4,2.05
c3js/c3,,,2.26,2.21,1.21
apache/oozie,,,4.39,0.65,0.87
TalkingData/inmap,,,0.12,,0.51
uber/aresdb,,,,0.24,0.4
apache/hawq,,,0.35,0.69,0.33
eventql/eventql,,,0.31,,0.16
